epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.792,2.707,5.61058,2.73825,0,0,0,0,4.0504,6.4995,3.459,0,0,0
2,15.47,2.78639,5.14913,2.92965,0.00014,0.01667,9e-05,1e-05,3.84697,5.62968,3.27111,1.17822e-06,1.17822e-06,1.17822e-06
3,16.1169,2.83327,5.71592,2.67743,0.00057,0.06667,0.00084,0.00013,3.86632,5.4363,3.28238,2.33288e-06,2.33288e-06,2.33288e-06
4,16.7609,2.70514,5.44023,2.64294,0.17318,0.01667,0.0084,0.00411,3.27812,5.15796,3.36989,3.46397e-06,3.46397e-06,3.46397e-06
5,17.3962,3.26887,5.75596,3.05647,0.17183,0.01667,0.00535,0.00321,3.24766,5.05292,3.38364,4.5715e-06,4.5715e-06,4.5715e-06
6,18.027,2.752,5.57602,2.72137,0.00017,0.01667,0.00536,0.00321,3.36943,5.37775,3.45692,5.65548e-06,5.65548e-06,5.65548e-06
7,18.6665,2.93789,5.70338,2.87058,0.00029,0.01667,0.00157,0.00079,3.30768,5.50923,3.51376,6.71588e-06,6.71588e-06,6.71588e-06
8,19.2916,3.30113,5.59936,3.22129,0.00033,0.01667,0.00087,0.00043,3.30096,5.41322,3.6164,7.75273e-06,7.75273e-06,7.75273e-06
9,19.9201,2.94769,5.65642,2.86064,0.00035,0.01667,0.00109,0.00047,3.2229,5.47722,3.61617,8.76602e-06,8.76602e-06,8.76602e-06
10,20.5468,2.74148,5.27847,2.77845,0.00036,0.01667,0.00092,0.00042,3.17299,5.49146,3.6061,9.75574e-06,9.75574e-06,9.75574e-06
11,21.1762,2.59027,5.19465,2.7382,0.00037,0.01667,0.00076,0.00039,3.14213,5.48442,3.61637,1.07219e-05,1.07219e-05,1.07219e-05
12,21.8009,2.94446,5.28897,2.86918,0.00033,0.01667,0.00087,0.00046,3.13414,5.48634,3.60349,1.16645e-05,1.16645e-05,1.16645e-05
13,22.4228,3.04089,5.31756,3.15985,0.00034,0.01667,0.00148,0.00063,3.03702,5.40425,3.58497,1.25835e-05,1.25835e-05,1.25835e-05
14,23.0691,2.735,5.91064,2.92596,0.00033,0.01667,0.00114,0.00052,3.03568,5.39774,3.561,1.3479e-05,1.3479e-05,1.3479e-05
15,23.6969,2.69459,5.04755,2.88803,0.00033,0.01667,0.0009,0.00044,3.03881,5.39684,3.53764,1.43509e-05,1.43509e-05,1.43509e-05
16,24.3247,2.90844,5.1148,2.67298,0.0003,0.01667,0.00058,0.00034,3.04733,5.39766,3.55381,1.51993e-05,1.51993e-05,1.51993e-05
17,24.9539,2.59098,5.40825,2.74119,0.00028,0.01667,0.00044,0.00028,3.00601,5.43515,3.53287,1.60241e-05,1.60241e-05,1.60241e-05
18,25.5535,2.91223,5.61377,2.64537,0.00028,0.01667,0.00044,0.00028,3.00601,5.43515,3.53287,1.68253e-05,1.68253e-05,1.68253e-05
19,26.1813,2.60323,5.17966,2.58454,0.00023,0.01667,0.00034,0.00017,3.06663,5.45466,3.49195,1.7603e-05,1.7603e-05,1.7603e-05
20,26.7775,2.66277,5.60646,2.5862,0.00023,0.01667,0.00034,0.00017,3.06663,5.45466,3.49195,1.83571e-05,1.83571e-05,1.83571e-05
21,27.4242,2.59556,5.3285,2.74824,0.00022,0.01667,0.00037,0.00014,3.10917,5.45461,3.44405,1.90876e-05,1.90876e-05,1.90876e-05
22,28.0247,2.73856,5.06814,2.54174,0.00022,0.01667,0.00037,0.00014,3.10917,5.45461,3.44405,1.97946e-05,1.97946e-05,1.97946e-05
